"Monitor Name","DMO Name","EMIS Code","District","UC Name","Month","Year","Visit Type","Cluster Name","School Name","Gender","Level","Seasonal Zone"
"ahmad.taj.haripur","dmo.haripur","24581","HARIPUR","QAZI PUR","5","2026","Regular","ahmed","GPS DHERI NAQARCHIAN","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24656","HARIPUR","ALI KHAN","5","2026","Regular","ahmed","GPS KAHAL","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24782","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GPS PAKSHAHI","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24879","HARIPUR","TOFKIAN","5","2026","Regular","ahmed","GPS TOFKIAN","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24950","HARIPUR","ALI KHAN","5","2026","Regular","ahmed","GPS KAHAL BALA","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24970","HARIPUR","NAJAFPUR","5","2026","Regular","ahmed","GMPS MAIRA DARTIAN","Boys","Mosque","Summer"
"ahmad.taj.haripur","dmo.haripur","33270","HARIPUR","SIRYA","5","2026","Regular","ahmed","GHS BANDI GULLO","Boys","High","Summer"
"ahmad.taj.haripur","dmo.haripur","33312","HARIPUR","PANDAK","5","2026","Regular","ahmed","GMS MIRPUR","Boys","Middle","Summer"
"ahmad.taj.haripur","dmo.haripur","35374","HARIPUR","KHANPUR","5","2026","Regular","ahmed","GHS PIND GUJRAN","Boys","High","Summer"
"ahmad.taj.haripur","dmo.haripur","36553","HARIPUR","BAGRA","5","2026","Regular","ahmed","GHSS BAGRA","Boys","Higher Secondary","Summer"
"ahmad.taj.haripur","dmo.haripur","24470","HARIPUR","NAJAFPUR","5","2026","Regular","ahmed","GPS BABUTRI","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24490","HARIPUR","SIRYA","5","2026","Regular","ahmed","GPS BANDI GULLOO","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24531","HARIPUR","ALI KHAN","5","2026","Regular","ahmed","GPS CHAK SHAH MUHAMMAD","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24707","HARIPUR","KHOLIAN BALA","5","2026","Regular","ahmed","GEMPS KHOLIAN BALA","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24876","HARIPUR","REHANA","5","2026","Regular","ahmed","GPS THEH","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24905","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GMPS NARTOPA BAGRAN","Boys","Mosque","Summer"
"ahmad.taj.haripur","dmo.haripur","31555","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GPS KHOI BAGRAN NO 2","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24474","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GPS BAGHPUR DHERI","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24567","HARIPUR","NAJAFPUR","5","2026","Regular","ahmed","GEMPS DARTIAN","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24759","HARIPUR","ALI KHAN","5","2026","Regular","ahmed","GPS MURAD ABAD","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","25028","HARIPUR","NAJAFPUR","5","2026","Regular","ahmed","GPS SOKAR","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","27637","HARIPUR","QAZI PUR","5","2026","Regular","ahmed","GPS MIAN DHERI","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","33295","HARIPUR","BAREELA","5","2026","Regular","ahmed","GMS KHOI NARA","Boys","Middle","Summer"
"ahmad.taj.haripur","dmo.haripur","90807","HARIPUR","KOT NAJEEBULLAH","5","2026","Regular","ahmed","GPS MAIRA SHEENI","Boys","Middle","Summer"
"ahmad.taj.haripur","dmo.haripur","24746","HARIPUR","PANDAK","5","2026","Regular","ahmed","GPS MIR PUR","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24971","HARIPUR","KOT NAJEEBULLAH","5","2026","Regular","ahmed","GPS MAIRA SHEENI","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","25008","HARIPUR","TOFKIAN","5","2026","Regular","ahmed","GMPS PIND GAKHARA","Boys","Mosque","Summer"
"ahmad.taj.haripur","dmo.haripur","35361","HARIPUR","KHOLIAN BALA","5","2026","Regular","ahmed","GHS KHOLIAN BALA","Boys","High","Summer"
"ahmad.taj.haripur","dmo.haripur","24547","HARIPUR","REHANA","5","2026","Regular","ahmed","GPS CHHAJJIAN","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24835","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GPS NAROTA","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24844","HARIPUR","QAZI PUR","5","2026","Regular","ahmed","GPS SHEIKH CHOORR","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","33315","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GHS PAKSHAI","Boys","High","Summer"
"ahmad.taj.haripur","dmo.haripur","37126","HARIPUR","NAJAFPUR","5","2026","Regular","ahmed","GMS BABOOTRI","Boys","Middle","Summer"
"ahmad.taj.haripur","dmo.haripur","24647","HARIPUR","TOFKIAN","5","2026","Regular","ahmed","GPS JANDIAL","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24702","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GPS KHOI BAGRAN NO.1","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24871","HARIPUR","BAGRA","5","2026","Regular","ahmed","GPS TEERAN","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24961","HARIPUR","BANDI SHER KHAN","5","2026","Regular","ahmed","GPS KIYIAN","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","29618","HARIPUR","BAREELA","5","2026","Regular","ahmed","GPS NARA","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","32908","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GMPS BAKKA","Boys","Mosque","Summer"
"ahmad.taj.haripur","dmo.haripur","35335","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GHS BAGH PUR DHERI","Boys","High","Summer"
"ahmad.taj.haripur","dmo.haripur","35356","HARIPUR","ALI KHAN","5","2026","Regular","ahmed","GHSS KAHAL","Boys","Higher Secondary","Summer"
"ahmad.taj.haripur","dmo.haripur","24512","HARIPUR","MUSLIM ABAD","5","2026","Regular","ahmed","GPS BARWAR KHAN PUR","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24756","HARIPUR","ALI KHAN","5","2026","Regular","ahmed","GPS MOONAN HARIPUR","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24795","HARIPUR","KHANPUR","5","2026","Regular","ahmed","GPS PIND GUJRAN","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","24990","HARIPUR","PIND KAMAL KHAN","5","2026","Regular","ahmed","GPS NATHOO KHATHAR","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","30202","HARIPUR","BAGRA","5","2026","Regular","ahmed","GPS BAGRA NO.2","Boys","Primary","Summer"
"ahmad.taj.haripur","dmo.haripur","33310","HARIPUR","ALI KHAN","5","2026","Regular","ahmed","GMS MOONAN","Boys","Middle","Summer"
